offset,acc,n,subject
1.25,0.6428571428571429,14,10
1.5,0.7857142857142857,14,10
1.75,0.6428571428571429,14,10
2.0,0.5714285714285714,14,10
2.25,0.42857142857142855,14,10
2.5,0.35714285714285715,14,10
2.75,0.35714285714285715,14,10
3.0,0.5,14,10
3.25,0.5714285714285714,14,10
3.5,0.35714285714285715,14,10
3.75,0.5,14,10
4.0,0.42857142857142855,14,10
0.5,0.5714285714285714,14,11
0.75,0.6428571428571429,14,11
1.0,0.7142857142857143,14,11
1.25,0.6428571428571429,14,11
1.5,0.7857142857142857,14,11
1.75,0.7857142857142857,14,11
2.0,0.7857142857142857,14,11
2.25,0.42857142857142855,14,11
2.5,0.6428571428571429,14,11
2.75,0.5714285714285714,14,11
3.0,0.5714285714285714,14,11
3.25,0.5,14,11
3.5,0.42857142857142855,14,11
3.75,0.5714285714285714,14,11
4.0,0.6428571428571429,14,11
0.5,0.5714285714285714,14,12
0.75,0.5714285714285714,14,12
1.0,0.5714285714285714,14,12
1.25,0.7142857142857143,14,12
1.5,0.8571428571428571,14,12
1.75,0.7142857142857143,14,12
2.0,0.6428571428571429,14,12
2.25,0.7142857142857143,14,12
2.5,0.7142857142857143,14,12
2.75,0.7857142857142857,14,12
3.0,0.7857142857142857,14,12
3.25,0.6428571428571429,14,12
3.5,0.5714285714285714,14,12
3.75,0.6428571428571429,14,12
4.0,0.7142857142857143,14,12
0.5,0.5,14,13
0.75,0.5,14,13
1.0,0.5,14,13
1.25,0.5,14,13
1.5,0.5,14,13
1.75,0.5714285714285714,14,13
2.0,0.5,14,13
2.25,0.5,14,13
2.5,0.5,14,13
2.75,0.5714285714285714,14,13
3.0,0.5,14,13
3.25,0.5,14,13
3.5,0.5,14,13
3.75,0.5,14,13
4.0,0.5,14,13
0.5,0.5714285714285714,14,14
0.75,0.5,14,14
1.0,0.5,14,14
1.25,0.6428571428571429,14,14
1.5,0.5714285714285714,14,14
1.75,0.5,14,14
2.0,0.5714285714285714,14,14
2.25,0.5714285714285714,14,14
2.5,0.5714285714285714,14,14
2.75,0.7142857142857143,14,14
3.0,0.6428571428571429,14,14
3.25,0.5,14,14
3.5,0.5714285714285714,14,14
3.75,0.5714285714285714,14,14
4.0,0.5714285714285714,14,14
0.5,0.6428571428571429,14,15
0.75,0.7857142857142857,14,15
1.0,0.6428571428571429,14,15
1.25,0.7142857142857143,14,15
1.5,0.8571428571428571,14,15
1.75,0.8571428571428571,14,15
2.0,0.8571428571428571,14,15
2.25,0.8571428571428571,14,15
2.5,0.7142857142857143,14,15
2.75,0.7142857142857143,14,15
3.0,0.7857142857142857,14,15
3.25,0.8571428571428571,14,15
3.5,0.6428571428571429,14,15
3.75,0.6428571428571429,14,15
4.0,0.7142857142857143,14,15
0.5,0.7142857142857143,14,16
0.75,0.5714285714285714,14,16
1.0,0.6428571428571429,14,16
1.25,0.6428571428571429,14,16
1.5,0.6428571428571429,14,16
1.75,0.5714285714285714,14,16
2.0,0.5,14,16
2.25,0.35714285714285715,14,16
2.5,0.2857142857142857,14,16
2.75,0.2857142857142857,14,16
3.0,0.35714285714285715,14,16
3.25,0.35714285714285715,14,16
3.5,0.42857142857142855,14,16
3.75,0.5714285714285714,14,16
4.0,0.6428571428571429,14,16
0.5,0.7857142857142857,14,17
0.75,0.6428571428571429,14,17
1.0,0.5714285714285714,14,17
1.25,0.5714285714285714,14,17
1.5,0.5,14,17
1.75,0.6428571428571429,14,17
2.0,0.6428571428571429,14,17
2.25,0.5,14,17
2.5,0.42857142857142855,14,17
2.75,0.5,14,17
3.0,0.5714285714285714,14,17
3.25,0.42857142857142855,14,17
3.5,0.5,14,17
3.75,0.5714285714285714,14,17
4.0,0.5,14,17
0.5,0.6428571428571429,14,18
0.75,0.6428571428571429,14,18
1.0,0.5714285714285714,14,18
1.25,0.6428571428571429,14,18
1.5,0.5714285714285714,14,18
1.75,0.42857142857142855,14,18
2.0,0.42857142857142855,14,18
2.25,0.5,14,18
2.5,0.42857142857142855,14,18
2.75,0.42857142857142855,14,18
3.0,0.42857142857142855,14,18
3.25,0.42857142857142855,14,18
3.5,0.35714285714285715,14,18
3.75,0.42857142857142855,14,18
4.0,0.2857142857142857,14,18
0.5,0.21428571428571427,14,19
0.75,0.35714285714285715,14,19
1.0,0.42857142857142855,14,19
1.25,0.42857142857142855,14,19
1.5,0.5714285714285714,14,19
1.75,0.5714285714285714,14,19
2.0,0.5,14,19
2.25,0.35714285714285715,14,19
2.5,0.42857142857142855,14,19
2.75,0.2857142857142857,14,19
3.0,0.21428571428571427,14,19
3.25,0.21428571428571427,14,19
3.5,0.21428571428571427,14,19
3.75,0.21428571428571427,14,19
4.0,0.21428571428571427,14,19
0.5,0.5,14,20
0.75,0.5,14,20
1.0,0.5,14,20
1.25,0.42857142857142855,14,20
